project,evidence_source,development_exposed,selection_reason,source_provider,namespace,commit,tree_oid,nonblank_source_loc,initial_alert_density_per_nonblank_kloc,alert_volume_stratum,initial_alerts,final_alerts,eliminated_alerts,remaining_alerts,introduced_alerts,net_reduction,gross_elimination_rate,net_reduction_rate,validation_scans,maximum_validation_scans,best_valid_round,last_valid_round,final_selection_status,build_status,test_status,input_tokens,cached_input_tokens,output_tokens,total_tokens,api_cost,wall_clock_seconds,guide_rules_required,guide_rules_trace_accessed,guide_access_complete,run_manifest_path,run_manifest_sha256
ace_ets_module_RouteManagement_api12,primary_scheduler,False,top_total,existing_upstream_checkout,OpenHarmony,b79ac40f940b84c4077f7d393670a7f57cac10d3,4b4ffaeb8412a8429ee73aae78dcc8b07fbdc5cf,11824,7.104194857916103,lt_100,84,0,84,0,0,84,1.0,1.0,1,5,1,1,latest_candidate_is_best_valid,not_available,not_run,2052217,1790208,24173,2076390,,55.35772484896006,5,3,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/ace_ets_module_RouteManagement_api12/run_manifest.json,24d79fff7dab1a48e9a22c316d02ca89e60ef1d14264ff91133e4527619ea20d
ace_ets_module_commonAttrsLayout_api11,primary_scheduler,False,top_total,existing_upstream_checkout,OpenHarmony,b79ac40f940b84c4077f7d393670a7f57cac10d3,08b2e8729f543ffc984b4571011950ec2e672c1d,16638,4.988580358216131,lt_100,83,0,83,0,0,83,1.0,1.0,1,5,1,1,latest_candidate_is_best_valid,not_available,not_run,3821256,3327744,44160,3865416,,227.8841821399983,5,5,True,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/ace_ets_module_commonAttrsLayout_api11/run_manifest.json,8ef3febc303ac524be6637f8bf212f23add509f07ca9f68d8e71da9436eca078
ace_ets_module_imageText_api12,primary_scheduler,False,top_total,existing_upstream_checkout,OpenHarmony,b79ac40f940b84c4077f7d393670a7f57cac10d3,0d8d23151f3edf1b5cc7cde68892265a201cd878,80079,5.419648097503716,100_to_499,434,0,434,0,0,434,1.0,1.0,2,5,2,2,latest_candidate_is_best_valid,not_available,not_run,2838190,2601216,36231,2874421,,575.2723819899838,5,0,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/ace_ets_module_imageText_api12/run_manifest.json,d53992e8b27883590f8dded63124f2100a5c9b01466a5e543f3c01e7f88e14b4
ace_ets_module_imageText_api16,primary_scheduler,False,top_total,existing_upstream_checkout,OpenHarmony,b79ac40f940b84c4077f7d393670a7f57cac10d3,7dbb28a1b472882be9f8e46f5b154fd12108243a,6269,12.123145637262722,lt_100,76,0,76,0,0,76,1.0,1.0,1,5,1,1,latest_candidate_is_best_valid,not_available,not_run,2549156,2259968,39873,2589029,,371.68023245298536,4,0,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/ace_ets_module_imageText_api16/run_manifest.json,49ade02c1cdef6486a7399036802ed2c76e11212b17d2aaf3c1e99e98b609994
ace_ets_module_navigation1,primary_scheduler,False,top_total,GitCode,OpenHarmony,0e1b66cb7dcfd4c77d3caab43bcbdb2c61a2ab3b,d620310a11b318f3d50b9df5e2d96eb5fb49d6f6,9936,8.957326892109501,lt_100,89,0,89,0,0,89,1.0,1.0,1,5,1,1,latest_candidate_is_best_valid,not_available,not_run,2820160,2577408,57606,2877766,,607.134486392024,4,0,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/ace_ets_module_navigation1/run_manifest.json,0d0fc51a13ea59babd39b1124fa7d2afc26a3ed8704e8fe6df1fab67d48a2ac2
ace_ets_module_navigation_api12,primary_scheduler,False,top_total,existing_upstream_checkout,OpenHarmony,b79ac40f940b84c4077f7d393670a7f57cac10d3,d60e901a751270cb1e94c7510a5f94629f9d73a3,31903,14.167946588095164,100_to_499,452,0,452,0,0,452,1.0,1.0,1,5,1,1,latest_candidate_is_best_valid,not_available,not_run,3033482,2878208,21269,3054751,,631.3242740379646,5,0,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/ace_ets_module_navigation_api12/run_manifest.json,42622a5c3535fc14837b66351875d3a6a92849dfae012ed653ab25017ed8efec
ace_ets_module_nowear_waterflow,primary_scheduler,False,top_total,GitCode,OpenHarmony,0e1b66cb7dcfd4c77d3caab43bcbdb2c61a2ab3b,22e67a334d131885cb09778e785a3a541a2468c6,11710,40.22203245089667,100_to_499,471,0,471,0,0,471,1.0,1.0,2,5,2,2,latest_candidate_is_best_valid,not_available,not_run,18124524,17434112,123029,18247553,,1471.2463314380147,6,0,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/ace_ets_module_nowear_waterflow/run_manifest.json,314f9f8ccd1a229a394f1d19650b0a44a1d6b151314847fa6ea70fbf9ca81094
ace_ets_module_router1,primary_scheduler,False,top_total,GitCode,OpenHarmony,0e1b66cb7dcfd4c77d3caab43bcbdb2c61a2ab3b,24e50a73c2b45e4b142171ef6f8ab10fccc0a187,18544,5.338654012079378,lt_100,99,0,99,0,0,99,1.0,1.0,1,5,1,1,latest_candidate_is_best_valid,not_available,not_run,3421311,3194880,60475,3481786,,773.0398157580057,5,0,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/ace_ets_module_router1/run_manifest.json,8117682c297c62dcd54aec1dce17a4bc5dc22f498eb3c5b6937606a44b756db9
ace_ets_module_scroll_nowear_api12,primary_scheduler,False,top_total,existing_upstream_checkout,OpenHarmony,b79ac40f940b84c4077f7d393670a7f57cac10d3,37f23153d5653f4627ca2d03e246f4bae70cd44f,9091,45.09954900450996,100_to_499,410,0,410,0,0,410,1.0,1.0,2,5,2,2,latest_candidate_is_best_valid,not_available,not_run,5712239,5420800,56267,5768506,,1190.1745514060021,6,6,True,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/ace_ets_module_scroll_nowear_api12/run_manifest.json,d3eebec572f28f57488f2d174ff7601fefb20fc6bca0bfaa5451bd903c98a7a4
ace_ets_module_swiper,primary_scheduler,False,top_total,GitCode,OpenHarmony,0e1b66cb7dcfd4c77d3caab43bcbdb2c61a2ab3b,3c36284bacbc24299cac89fb5cb7657d5522c54d,34684,13.176104255564526,100_to_499,457,0,457,0,0,457,1.0,1.0,4,5,4,4,latest_candidate_is_best_valid,not_available,not_run,2581774,2308864,44321,2626095,,990.586291799962,6,6,True,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/ace_ets_module_swiper/run_manifest.json,420ca6834728d6b5c61cd759335680217abba5cc6d928c78df4a69663e597925
